Epoch,Loss,Accuracy
1,2.76076602935791,0.30078125
2,2.0677900314331055,0.4462890625
3,1.8159031867980957,0.494140625
4,1.6847710609436035,0.52001953125
5,1.6249024868011475,0.53466796875
6,1.5344688892364502,0.560546875
7,1.4405248165130615,0.56884765625
8,1.362982988357544,0.58203125
9,1.3099348545074463,0.595703125
10,1.2577097415924072,0.603515625
11,1.225814700126648,0.6083984375
12,1.2034375667572021,0.61376953125
13,1.1823015213012695,0.623046875
14,1.1500563621520996,0.63525390625
15,1.122117042541504,0.6416015625
16,1.0828863382339478,0.6533203125
17,1.0751323699951172,0.64794921875
18,1.058983564376831,0.6611328125
19,1.0498771667480469,0.66455078125
20,1.0295679569244385,0.66796875
21,1.0080924034118652,0.67431640625
22,1.0049705505371094,0.6865234375
23,0.9848228693008423,0.68212890625
24,0.957446813583374,0.69140625
25,0.9550200700759888,0.7001953125
26,0.9441500902175903,0.69482421875
27,0.930307149887085,0.7001953125
28,0.9112921953201294,0.7158203125
29,0.9170415997505188,0.70556640625
30,0.922702968120575,0.71337890625
31,0.8978983163833618,0.716796875
32,0.896263837814331,0.72314453125
33,0.8786624670028687,0.716796875
34,0.8513867855072021,0.71875
35,0.8450497388839722,0.73046875
36,0.8457671403884888,0.72998046875
37,0.8272690773010254,0.73828125
38,0.8315554857254028,0.73388671875
39,0.8195981979370117,0.73876953125
40,0.8007581830024719,0.74609375
41,0.8020161390304565,0.751953125
42,0.7849621772766113,0.74951171875
43,0.7843181490898132,0.74755859375
44,0.7806745171546936,0.7587890625
45,0.7716997861862183,0.7568359375
46,0.7511624097824097,0.75830078125
47,0.7449214458465576,0.7666015625
48,0.7191346883773804,0.76904296875
49,0.7454854249954224,0.76318359375
50,0.7132880687713623,0.76806640625
51,0.7284129858016968,0.77294921875
52,0.7348040342330933,0.7685546875
53,0.6945698261260986,0.78125
54,0.6949179172515869,0.77490234375
55,0.6914467811584473,0.7724609375
56,0.6801596879959106,0.78564453125
57,0.6680127382278442,0.78466796875
58,0.6903778314590454,0.77978515625
59,0.6718838214874268,0.7783203125
60,0.638267993927002,0.78955078125
61,0.6315739154815674,0.80029296875
62,0.6373076438903809,0.79248046875
63,0.6506452560424805,0.7919921875
64,0.6400354504585266,0.79443359375
65,0.6149221658706665,0.8076171875
66,0.6090552806854248,0.80419921875
67,0.6095024347305298,0.810546875
68,0.6229541301727295,0.79345703125
69,0.593530535697937,0.8232421875
70,0.5957130193710327,0.80712890625
71,0.593090832233429,0.8056640625
72,0.5706663131713867,0.818359375
73,0.5860860347747803,0.81689453125
74,0.5772485733032227,0.81787109375
75,0.5731659531593323,0.82373046875
76,0.573950469493866,0.82373046875
77,0.5742151141166687,0.82177734375
78,0.5585739612579346,0.82861328125
79,0.5609096884727478,0.83056640625
80,0.5586102604866028,0.8212890625
81,0.5494881868362427,0.81884765625
82,0.5379800200462341,0.8232421875
83,0.5355755090713501,0.82568359375
84,0.5300264358520508,0.83056640625
85,0.530762791633606,0.83056640625
86,0.5301810503005981,0.8330078125
87,0.5321028232574463,0.82861328125
88,0.5088801383972168,0.83837890625
89,0.5073993802070618,0.83935546875
90,0.5107547044754028,0.8408203125
